Company,Gründer,Link
basebox,Rene Alexander Herzer,https://www.linkedin.com/in/reneherzer/
basebox,Markus Thielen,https://www.linkedin.com/in/markus-thielen-94507b3a/
Berlin Governance Platform,,https://www.linkedin.com/company/governanceplatform/
Berlin Governance Platform,Jermyn Paul Brooks,
Berlin Governance Platform,Sven Biermann,https://www.linkedin.com/in/sven-biermann/
Berlin Governance Platform,Daphne Büllesbach,https://www.linkedin.com/in/daphne-b%C3%BCllesbach-a3a6b31a3/
Better Mobility GmbH,,https://www.linkedin.com/company/better-mobility-gmbh/
Better Mobility GmbH,Jörg Röhlen,https://www.linkedin.com/in/joerg-roehlen-905abb18/
Better@Home Service GmbH,,https://www.linkedin.com/company/better-at-home-service-gmbh/
Better@Home Service GmbH,Arno Stefan Elmer,https://www.linkedin.com/in/prof-dr-arno-elmer-68b22024/
Bitfactory Solutions GmbH,,https://www.linkedin.com/company/bitfactory-gmbh/
Bitfactory Solutions GmbH,Andreas Michael Gawelczyk,https://www.linkedin.com/in/andreas-gawelczyk/
bitkasten GmbH,,https://www.linkedin.com/company/bitkasten/
bitkasten GmbH,Christian Gericke,https://www.linkedin.com/in/christiangericke/
bitkasten GmbH,Antje Borchert,
bitkasten GmbH,Michael Mews,
Bitteiler,,https://www.linkedin.com/company/bitteiler/
Bitteiler,Máté Tömösközi,https://www.linkedin.com/in/tomoskozi/
Bitteiler,Maroua Taghouti,https://www.linkedin.com/in/marouataghouti/
Breeze Technologies,,https://www.linkedin.com/company/breeze-technologies/
Breeze Technologies,Robert Alexander-Maximilian Heinecke,https://www.linkedin.com/in/heinecke/
brighter AI,,https://www.linkedin.com/company/brighter-ai/
brighter AI,Patrick Kern,https://www.linkedin.com/in/patrickmkern/
brighter AI,Asaf Birnhack,https://www.linkedin.com/in/birnhackasaf/
brighter AI,Marian Gläser,https://www.linkedin.com/in/mglaeser/
BRYTER,,https://www.linkedin.com/company/brytergmbh/
BRYTER,Michael Grupp,https://www.linkedin.com/in/michael-grupp/
